Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Bwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Active Std,Idle Std,Fwd Push Flags Count,Bwd Push Flags Count,Label
85.0848748684,66.1809752757,0.7051782128,60,0,68,101,93.85,0,0,0,1.4180812478,1.4365196184,0,0.2797863814,1.3859316715,60,0,benign
83.6819012165,51.2536156283,0.5855507498,49,0,68,101,87.5306122449,0,0,0,1.7077939024,2.1370761498,0,0.2560595131,2.39867088,49,0,benign
89.1304130554,41.6019613608,0.4375610823,39,0,68,101,95.0769230769,0,0,0,2.2853952065,4.1059789914,0,0.3141772651,5.28532251,39,0,benign
84.7043311596,86.040464522,0.9444617401,80,0,68,101,91.1,0,0,0,1.0588041395,1.3734200331,0,0.2529274779,1.6189690955,80,0,benign
59.7958319187,84.6212827489,0.9197965516,55,0,68,101,92.0,0,0,0,1.087196944,1.3658289961,0,0.2899091089,1.6129994369,55,0,benign
90.2874159813,48.6225012898,0.5537870306,50,0,68,101,87.8,0,0,0,1.8057483196,3.4838911491,0,0.3115605087,4.7029813305,50,0,benign
91.765996933,47.032671624,0.5012749988,46,0,68,101,93.8260869565,0,0,0,1.9949129768,4.0521758959,0,0.2694991069,5.3890110985,46,0,benign
1e-10,770000000000.0,10000000000.0,1,0,77,77,77.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
85.1106901169,99.5057141279,1.0926947,93,0,68,101,91.064516129,0,0,0,0.9151687109,1.0064286665,0,0.2667366562,1.0777031673,93,0,benign
64.0319058895,21.3174975981,0.2342582154,15,0,91,91,91.0,0,0,0,4.268793726,13.0992255206,0,0.2879924266,22.0742556086,15,0,benign
83.8831059933,67.1291308699,0.7152810961,60,0,68,101,93.85,0,0,0,1.3980517666,1.6875735256,0,0.2543823038,1.7436871968,60,0,benign
84.4226911068,81.5183679859,0.8883867479,75,0,68,101,91.76,0,0,0,1.1256358814,1.2972633736,0,0.2999392219,1.4415678247,75,0,benign
58.7130420208,79.3350138177,0.8856635291,52,0,68,101,89.5769230769,0,0,0,1.1290969619,1.2087789186,0,0.2724936141,1.2775417474,52,0,benign
82.95662117,61.3935322843,0.6629971089,55,0,68,101,92.6,0,0,0,1.5083022031,1.8078178984,0,0.3089452497,1.9783484395,55,0,benign
83.5513000488,58.1439187321,0.6343408178,53,0,68,101,91.6603773585,0,0,0,1.5764396236,2.0096749966,0,0.2601413936,2.2755290405,53,0,benign
1e-10,1230000000000.0,10000000000.0,1,0,123,123,123.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
87.6219160557,44.2697463673,0.4793321339,42,0,68,101,92.3571428571,0,0,0,2.0862360966,3.4259122807,0,0.1968769507,4.1429739489,42,0,benign
63.7609760761,22.8352840499,0.2509371874,16,0,91,91,91.0,0,0,0,3.9850610048,12.853891725,0,0.3107315523,22.4286826159,16,0,benign
1e-10,1060000000000.0,10000000000.0,1,0,106,106,106.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
61.4754240513,53.8101208906,0.6018665275,37,0,68,101,89.4054054054,0,0,0,1.6614979473,1.5064761772,0,0.2537420813,1.3546789875,37,0,benign
83.4718110561,75.2110193917,0.8386064602,70,0,68,101,89.6857142857,0,0,0,1.1924544437,1.4873569174,0,0.2441179731,1.5938616643,70,0,benign
87.1899030209,23.2366355484,0.2637920126,23,0,68,101,88.0869565217,0,0,0,3.7908653487,6.6816774207,0,0.3426821986,8.155330205,23,0,benign
64.171642065,14.1807186277,0.1558320728,10,0,91,91,91.0,0,0,0,6.4171642065,16.4124669022,0,0.2453232836,21.5562926887,10,0,benign
61.2118499279,72.7636888159,0.8004985972,49,0,68,101,90.8979591837,0,0,0,1.2492214271,1.1532752085,0,0.2882613379,1.1051869309,49,0,benign
84.3923408985,64.7689108017,0.7109649923,60,0,68,101,91.1,0,0,0,1.406539015,1.4364772348,0,0.2864418715,1.5226329499,60,0,benign
84.6622169018,66.1688319182,0.7323219527,62,0,68,101,90.3548387097,0,0,0,1.3655196274,1.5322804206,0,0.2444175255,1.4331913968,62,0,benign
55.9448010921,61.5249305173,0.6792409528,38,0,68,101,90.5789473684,0,0,0,1.4722316077,1.3789358218,0,0.288759838,1.2236405806,38,0,benign
1e-10,1240000000000.0,10000000000.0,1,0,124,124,124.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
83.0524580479,52.834077439,0.5899885585,49,0,68,101,89.5510204082,0,0,0,1.6949481234,1.576953112,0,0.3201807645,1.5485556268,49,0,benign
1e-10,760000000000.0,10000000000.0,1,0,76,76,76.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
81.4852499962,50.9417348562,0.5645193456,46,0,68,101,90.2391304348,0,0,0,1.7714184782,3.1300987408,0,0.2683906871,4.0912775847,46,0,benign
59.5581421852,54.4006223351,0.6044513593,36,0,68,101,90.0,0,0,0,1.6543928385,1.6453416961,0,0.3227569094,1.6620231145,36,0,benign
91.1058671474,27.0344828178,0.2963585205,27,0,68,101,91.2222222222,0,0,0,3.3742913758,4.7814374556,0,0.3061787822,5.3860925527,27,0,benign
60.5546720028,57.9641484944,0.6440460944,39,0,68,101,90.0,0,0,0,1.5526838975,2.1759517273,0,0.3351147807,2.6426540178,39,0,benign
84.6199111938,71.7797964369,0.791775825,67,0,68,101,90.6567164179,0,0,0,1.2629837492,1.467852156,0,0.2877083945,1.6408207511,67,0,benign
84.3623528481,66.3803202607,0.7230713457,61,0,68,101,91.8032786885,0,0,0,1.382989391,1.5217676742,0,0.2882384906,1.7101718828,61,0,benign
84.8304200172,77.5783026733,0.8605403579,73,0,68,101,90.1506849315,0,0,0,1.1620605482,1.444312729,0,0.2526675762,1.6710152179,73,0,benign
1e-10,1070000000000.0,10000000000.0,1,0,107,107,107.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,640000000000.0,10000000000.0,1,0,64,64,64.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
60.0730719566,65.1206917273,0.6991485308,42,0,68,101,93.1428571429,0,0,0,1.4303112371,1.4611931328,0,0.3178245108,1.6084916786,42,0,benign
82.9771239758,53.2556418958,0.5784726886,48,0,68,101,92.0625,0,0,0,1.7286900828,1.9455167077,0,0.2986176933,1.9626557335,48,0,benign
54.4357638359,61.3750917517,0.679700208,37,0,68,101,90.2972972973,0,0,0,1.4712368604,1.6028993314,0,0.3031227888,1.6754816172,37,0,benign
90.7171177864,44.9859971258,0.4850242278,44,0,68,101,92.75,0,0,0,2.061752677,3.5983803786,0,0.2888553427,4.7043763262,44,0,benign
61.2490410805,72.1154147409,0.7673589524,47,0,68,101,93.9787234043,0,0,0,1.3031710868,1.5641272906,0,0.3143038639,1.7281442565,47,0,benign
84.8359510899,53.7390097174,0.6129476871,52,0,68,101,87.6730769231,0,0,0,1.6314605979,2.000153534,0,0.271129917,2.2302329985,52,0,benign
58.6789000034,59.2546895016,0.6646341359,39,0,68,101,89.1538461538,0,0,0,1.5045871796,1.5898381757,0,0.306631968,1.6331058068,39,0,benign
84.5429730415,65.505148456,0.7451831623,63,0,68,101,87.9047619048,0,0,0,1.341951953,1.5654019363,0,0.2558837908,1.7235474109,63,0,benign
63.2493879795,20.1424873931,0.2213460153,14,0,91,91,91.0,0,0,0,4.5178134271,13.4277235934,0,0.2903279603,18.062504943,14,0,benign
88.9997448921,40.5956219805,0.4606754778,41,0,68,101,88.1219512195,0,0,0,2.1707254852,3.798173868,0,0.2772265932,4.8197999722,41,0,benign
61.0587830544,61.3998480229,0.7042393878,43,0,68,101,87.1860465116,0,0,0,1.4199716989,1.6663402936,0,0.2756005225,1.7875072859,43,0,benign
57.7879807949,70.6202214347,0.7614040047,44,0,68,101,92.75,0,0,0,1.3133631999,1.3808647989,0,0.3286668401,1.3634083302,44,0,benign
86.9879889488,37.2235298129,0.4023543988,35,0,68,101,92.5142857143,0,0,0,2.4853711128,3.5666394919,0,0.2649652852,4.0599723047,35,0,benign
60.672549963,57.7856048928,0.6098309701,37,0,68,101,94.7567567568,0,0,0,1.6397986476,2.4398600665,0,0.2742398376,2.9609211967,37,0,benign
60.8230199814,62.6900801895,0.6905280273,42,0,68,101,90.7857142857,0,0,0,1.4481671424,1.526713898,0,0.339064154,1.594588537,42,0,benign
90.769849062,45.3674875805,0.506776209,46,0,68,101,89.5217391304,0,0,0,1.9732575883,3.4004376395,0,0.2577607134,4.3879602768,46,0,benign
50.0249562263,70.7846696353,0.7596208546,38,0,68,101,93.1842105263,0,0,0,1.3164462165,1.4319075464,0,0.3390455176,1.5048815746,38,0,benign
60.691753149,23.9900797795,0.2636272503,16,0,91,91,91.0,0,0,0,3.7932345718,12.9349335624,0,0.2630243485,0.0,16,0,benign
1e-10,1110000000000.0,10000000000.0,1,0,111,111,111.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
84.149007082,63.3875572032,0.7130208909,60,0,68,101,88.9,0,0,0,1.4024834514,1.9657970043,0,0.262985753,2.3682819989,60,0,benign
89.2692689896,48.3481051078,0.5152949108,46,0,68,101,93.8260869565,0,0,0,1.9406362824,3.7940754619,0,0.2802438575,5.4323302475,46,0,benign
82.1959412098,53.7374465818,0.5718043897,47,0,68,101,93.9787234043,0,0,0,1.748849813,2.5094718182,0,0.3069795593,3.0441553821,47,0,benign
60.0012331009,55.6155236741,0.5833213451,35,0,68,101,95.3428571429,0,0,0,1.7143209457,2.2606489292,0,0.3127223502,2.5704991241,35,0,benign
89.6299309731,31.6412159332,0.357023593,32,0,68,101,88.625,0,0,0,2.8009353429,4.5247985748,0,0.246565599,5.3730102954,32,0,benign
91.4428801537,40.593647026,0.4483673298,41,0,68,101,90.5365853659,0,0,0,2.2303141501,3.4533458648,0,0.2672216093,4.1945549314,41,0,benign
80.8183381557,45.9549167275,0.5196840341,42,0,68,101,88.4285714286,0,0,0,1.9242461466,3.1377338628,0,0.2755374305,4.0485572669,42,0,benign
62.2624220848,14.6155573383,0.1606105202,10,0,91,91,91.0,0,0,0,6.2262422085,15.9437369257,0,0.2290867644,24.0069457127,10,0,benign
62.8745400906,13.0259402108,0.1431422001,9,0,91,91,91.0,0,0,0,6.9860600101,17.818352364,0,0.2900124406,27.0755000114,9,0,benign
55.681620121,42.9764793984,0.4489811889,25,0,68,101,95.72,0,0,0,2.2272648048,2.2141532078,0,0.2631202045,2.1740586267,25,0,benign
81.795897007,45.8091436992,0.513473188,42,0,68,101,89.2142857143,0,0,0,1.9475213573,2.8574176027,0,0.3119387534,3.3576385454,42,0,benign
83.2600507736,98.8709461922,1.0809505779,90,0,68,101,91.4666666667,0,0,0,0.9251116753,1.2362233162,0,0.2423113905,1.5633270658,90,0,benign
86.702507019,37.3922290308,0.4267465991,37,0,68,101,87.6216216216,0,0,0,2.3433110005,3.5987619211,0,0.3124196841,4.1205223054,37,0,benign
60.5298120975,68.0325918303,0.7599561011,46,0,68,101,89.5217391304,0,0,0,1.3158654804,1.846789627,0,0.2826748874,2.3184885689,46,0,benign
84.3480389118,78.0693906456,0.8891730142,75,0,68,101,87.8,0,0,0,1.1246405188,1.4046320049,0,0.3004131609,1.6718940166,75,0,benign
63.1983599663,23.0385725322,0.2531711267,16,0,91,91,91.0,0,0,0,3.9498974979,12.6662075092,0,0.2173924587,19.265628307,16,0,benign
83.0178599358,55.2893076689,0.6143256408,51,0,68,101,90.0,0,0,0,1.6278011752,1.7803239532,0,0.3147316235,1.8378449416,51,0,benign
1e-10,1440000000000.0,10000000000.0,1,0,144,144,144.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
90.3867309093,40.3156521244,0.4425428334,40,0,68,101,91.1,0,0,0,2.2596682727,3.8160324352,0,0.2898667253,4.8055807806,40,0,benign
84.0464320183,80.2651562714,0.8685675078,73,0,68,101,92.4109589041,0,0,0,1.1513209866,1.597027121,0,0.2575029672,2.037275993,73,0,benign
91.1209089756,32.6160047503,0.3731306062,34,0,68,101,87.4117647059,0,0,0,2.6800267346,3.9136633191,0,0.2915952115,4.5181196501,34,0,benign
83.1261308193,53.5331063306,0.5654058421,47,0,68,101,94.6808510638,0,0,0,1.7686410813,2.5743954607,0,0.2977622058,3.1304149825,47,0,benign
81.9679620266,35.4528760768,0.4147962101,34,0,68,101,85.4705882353,0,0,0,2.4108224125,3.4814257827,0,0.3195997778,4.004772203,34,0,benign
83.7221810818,74.9383248135,0.8122100872,68,0,68,101,92.2647058824,0,0,0,1.2312085453,1.5405034497,0,0.2774218428,1.7821724035,68,0,benign
87.7949948311,42.6334098795,0.4556068381,40,0,68,101,93.575,0,0,0,2.1948748708,3.4618489015,0,0.2778614246,4.1598820117,40,0,benign
59.586384058,80.9748749866,0.889464948,53,0,68,101,91.0377358491,0,0,0,1.1242713973,1.2483658875,0,0.2527319815,1.2564764459,53,0,benign
83.3400609493,55.0035594861,0.5759535025,48,0,68,101,95.5,0,0,0,1.7362512698,1.8354873564,0,0.2494282006,1.8831181116,48,0,benign
61.3814821243,11.8602545068,0.1303324671,8,0,91,91,91.0,0,0,0,7.6726852655,17.6305206444,0,0.2985260454,22.7024654367,8,0,benign
91.2179830074,37.3720168722,0.4165845237,38,0,68,101,89.7105263158,0,0,0,2.400473237,5.1603818851,0,0.2083621177,7.3266470697,38,0,benign
1e-10,1460000000000.0,10000000000.0,1,0,146,146,146.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1420000000000.0,10000000000.0,1,0,142,142,142.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
79.6685090065,37.6936889801,0.4142163624,33,0,68,101,91.0,0,0,0,2.4141972426,3.7367547334,0,0.2292244118,4.4629729668,33,0,benign
1e-10,970000000000.0,10000000000.0,1,0,97,97,97.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
59.0147979259,72.0497256525,0.79641042,47,0,68,101,90.4680851064,0,0,0,1.2556339984,1.3389132486,0,0.2542994729,1.3071185764,47,0,benign
1e-10,960000000000.0,10000000000.0,1,0,96,96,96.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
90.7909638882,56.822835435,0.6057871582,55,0,68,101,93.8,0,0,0,1.650744798,2.9914163308,0,0.2732789205,4.111578771,55,0,benign
83.3856909275,77.6392199667,0.8274801016,69,0,68,101,93.8260869565,0,0,0,1.2084882743,1.9078323236,0,0.2668463787,2.5111443984,69,0,benign
62.7828040123,20.2921806384,0.222990996,14,0,91,91,91.0,0,0,0,4.4844860009,13.5163418867,0,0.2947375495,22.2908512361,14,0,benign
82.5523021221,60.0710079855,0.6541307585,54,0,68,101,91.8333333333,0,0,0,1.5287463356,1.8238976403,0,0.2716781808,1.9327370643,54,0,benign
83.1734600067,53.5747821437,0.6011533005,50,0,68,101,89.12,0,0,0,1.6634692001,1.9817210716,0,0.2555035625,2.1626259234,50,0,benign
1e-10,1490000000000.0,10000000000.0,1,0,149,149,149.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
81.8495328426,83.6535012749,0.9040980129,74,0,68,101,92.527027027,0,0,0,1.1060747681,1.3808398197,0,0.267221506,1.6488557537,74,0,benign
62.6868269444,24.678231064,0.2711893524,17,0,91,91,91.0,0,0,0,3.6874604085,12.4411026232,0,0.3041665382,20.8430499046,17,0,benign
1e-10,1000000000000.0,10000000000.0,1,0,100,100,100.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
62.2512509823,21.9272701907,0.2409590131,15,0,91,91,91.0,0,0,0,4.1500833988,12.883605635,0,0.2979429773,23.4712452469,15,0,benign
81.4782390594,41.4343760858,0.4663821953,38,0,68,101,88.8421052632,0,0,0,2.1441641858,2.9522563961,0,0.3169330136,3.3813213873,38,0,benign
1e-10,1060000000000.0,10000000000.0,1,0,106,106,106.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1500000000000.0,10000000000.0,1,0,150,150,150.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
83.1159620285,83.2210784931,0.9143851331,76,0,68,101,91.0131578947,0,0,0,1.0936310793,1.3374729366,0,0.2676689547,1.4630693075,76,0,benign
1e-10,1200000000000.0,10000000000.0,1,0,120,120,120.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
82.4533369541,51.9687881448,0.5700193799,47,0,68,101,91.170212766,0,0,0,1.7543263182,2.4464603781,0,0.266176739,2.8208017596,47,0,benign
1e-10,1010000000000.0,10000000000.0,1,0,101,101,101.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
77.5237278938,69.6818915545,0.7868558654,61,0,68,101,88.5573770492,0,0,0,1.2708807851,1.5890766424,0,0.2533162294,1.8447193962,61,0,benign
61.0133419037,16.4062476955,0.1802884362,11,0,91,91,91.0,0,0,0,5.5466674458,14.7934560694,0,0.2176237778,20.2078201806,11,0,benign
1e-10,1470000000000.0,10000000000.0,1,0,147,147,147.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1280000000000.0,10000000000.0,1,0,128,128,128.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,940000000000.0,10000000000.0,1,0,94,94,94.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
81.8454749584,40.3687558986,0.427635126,35,0,68,101,94.4,0,0,0,2.3384421417,2.8962512504,0,0.3083302892,3.1424312797,35,0,benign
1e-10,1200000000000.0,10000000000.0,1,0,120,120,120.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,640000000000.0,10000000000.0,1,0,64,64,64.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
61.2022719383,13.3818561642,0.1470533644,9,0,91,91,91.0,0,0,0,6.8002524376,17.3969089108,0,0.0753776188,23.5490607412,9,0,benign
1e-10,880000000000.0,10000000000.0,1,0,88,88,88.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
59.8023500443,13.6951139779,0.150495758,9,0,91,91,91.0,0,0,0,6.6447055605,16.4195703953,0,0.268723829,22.3081554679,9,0,benign
78.7848191261,53.1066777383,0.5838688279,46,0,68,101,90.9565217391,0,0,0,1.7127134593,2.0377512653,0,0.2889798586,2.254395736,46,0,benign
73.778772831,42.1259378646,0.4879452262,36,0,68,101,86.3333333333,0,0,0,2.0494103564,3.3534336645,0,0.2581588847,4.2038563995,36,0,benign
88.7883868217,22.379052837,0.2252546838,20,0,68,101,99.35,0,0,0,4.4394193411,5.5851231063,0,0.2893163425,5.8449176941,20,0,benign
88.0609509945,35.271024954,0.3974519876,35,0,68,101,88.7428571429,0,0,0,2.5160271713,4.1001239975,0,0.295893914,4.886499869,35,0,benign
1e-10,700000000000.0,10000000000.0,1,0,70,70,70.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
87.1603479385,30.9544427462,0.3327201036,29,0,68,101,93.0344827586,0,0,0,3.0055292393,4.4651919433,0,0.3202006187,5.0479513595,29,0,benign
1e-10,670000000000.0,10000000000.0,1,0,67,67,67.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,930000000000.0,10000000000.0,1,0,93,93,93.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1450000000000.0,10000000000.0,1,0,145,145,145.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1150000000000.0,10000000000.0,1,0,115,115,115.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,1270000000000.0,10000000000.0,1,0,127,127,127.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
83.8444049358,45.0835091846,0.5009278798,42,0,68,101,90.0,0,0,0,1.9962953556,4.0453449031,0,0.235818993,5.6627732891,42,0,benign
1e-10,750000000000.0,10000000000.0,1,0,75,75,75.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
1e-10,710000000000.0,10000000000.0,1,0,71,71,71.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,attack
57.4512989521,14.2555523537,0.1566544215,9,0,91,91,91.0,0,0,0,6.3834776613,16.6693118914,0,0.2639484572,26.0910930634,9,0,benign
