Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Variance,Fwd Header Length,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Active Std,Idle Std,Fwd Push Flags Count,Fwd URG Flags Count,Label
34.9666178226,204.6523354445,2.2878964276,80,68,101,89.4500000000,15.7399968234,247.7475000000,0,0.4370827228,0.7916770653,34.9666178226,0.2753237108,1.7474774015,80,0,benign
28.9439089298,193.4776679120,2.1075245969,61,68,101,91.8032786885,14.7956791124,218.9121203977,0,0.4744903103,0.9185333911,28.9439089298,0.2599725913,2.1277200804,61,0,benign
34.3668589592,98.1759783170,1.0766186122,37,68,101,91.1891891892,15.0832605226,227.5047479912,0,0.9288340259,1.4976756798,34.3668589592,0.3030001492,2.1889361288,37,0,benign
34.0165510178,72.4059296521,0.7937312629,27,68,101,91.2222222222,15.0685675628,227.0617283951,0,1.2598722599,2.1181629744,34.0165510178,0.3609164918,3.1608557349,27,0,benign
34.8623619080,197.5769747955,2.2373699236,78,68,101,88.3076923077,16.0546404285,257.7514792899,0,0.4469533578,0.5142434982,34.8623619080,0.2256799945,0.4085890689,78,0,benign
27.8917291164,211.7115068538,2.3304399569,65,68,101,90.8461538462,15.2307692308,231.9763313609,0,0.4291035249,0.6422167337,27.8917291164,0.2330367205,1.1437225177,65,0,benign
28.8903260231,149.6694774764,1.7306831346,50,68,101,86.4800000000,16.3807692127,268.3296000000,0,0.5778065205,1.0161268470,28.8903260231,0.1988459153,1.6210836178,50,0,benign
34.7680270672,90.1690508335,0.9491479035,33,68,101,95.0000000000,12.7279220614,162.0000000000,0,1.0535765778,1.6851823718,34.7680270672,0.2863284382,2.2299056920,33,0,benign
28.7762780190,241.5183782775,2.6410642804,76,68,101,91.4473684211,14.9660974212,223.9840720222,0,0.3786352371,0.4785153245,28.7762780190,0.2330611678,0.5404790793,76,0,benign
34.9057471752,92.7067964985,0.9740516319,34,68,101,95.1764705882,12.5802613557,158.2629757785,0,1.0266396228,1.4740983398,34.9057471752,0.2720382603,2.0023197090,34,0,benign
33.8262400627,180.5403139302,1.9807108291,67,68,101,91.1492537313,15.1009080792,228.0374248162,0,0.5048692547,0.4345711157,33.8262400627,0.2084771799,0.3607950183,67,0,benign
34.9792490005,73.2434249792,0.7718862117,27,68,101,94.8888888889,12.8187748110,164.3209876543,0,1.2955277408,1.9016876972,34.9792490005,0.2670538289,2.4276413932,27,0,benign
33.9599688053,64.5171381800,0.6772679955,23,68,101,95.2608695652,12.5081447945,156.4536862004,0,1.4765203828,2.6400827558,33.9599688053,0.2922873560,3.6897938254,23,0,benign
33.0153870583,56.1859231493,0.6057781472,20,68,101,92.7500000000,14.2894191624,204.1875000000,0,1.6507693529,2.3591837572,33.0153870583,0.2274041632,2.7922822767,20,0,benign
33.9892790318,153.8426277037,1.6769993840,57,68,101,91.7368421053,14.8282877077,219.8781163435,0,0.5963031409,0.6471949556,33.9892790318,0.2537425710,0.6706896382,57,0,benign
33.6355741024,54.2282999079,0.6243389792,21,68,101,86.8571428571,16.3307647571,266.6938775510,0,1.6016940049,3.2837939569,33.6355741024,0.2432400379,4.9164401760,21,0,benign
28.3187849522,234.5792734830,2.5071697151,71,68,101,93.5633802817,13.7878619760,190.1051378695,0,0.3988561261,0.4797420232,28.3187849522,0.2491542292,0.7025735639,71,0,benign
28.6672179699,195.3450804288,2.1278660547,61,68,101,91.8032786885,14.7956791124,218.9121203977,0,0.4699543929,1.0038433315,28.6672179699,0.2515558760,2.6406185786,61,0,benign
10.5783598423,201.0708684247,2.2687827185,24,68,101,88.6250000000,15.9760563031,255.2343750000,0,0.4407649934,0.4776146076,10.5783598423,0.2226937873,0.4114791196,24,0,benign
34.3792810440,190.4053779258,2.0942846335,72,68,101,90.9166666667,15.2011969558,231.0763888889,0,0.4774900145,0.4819836112,34.3792810440,0.2569426220,0.3844027972,72,0,benign
34.3644700050,78.5113228752,0.8438948715,29,68,101,93.0344827586,14.1213527696,199.4126040428,0,1.1849817243,1.9064678756,34.3644700050,0.2015723626,2.4336241969,29,0,benign
34.6617021561,187.9019088755,2.0772205495,72,68,101,90.4583333333,15.3866261373,236.7482638889,0,0.4814125299,0.5792940760,34.6617021561,0.2079330510,0.5294996769,72,0,benign
34.9389040470,113.9703751051,1.2593411614,44,68,101,90.5000000000,15.3704261489,236.2500000000,0,0.7940660011,1.5026362546,34.9389040470,0.2310253978,2.3569674408,44,0,benign
34.8993821144,65.7318227721,0.7163450607,25,68,101,91.7600000000,14.8169632516,219.5424000000,0,1.3959752846,4.6837224713,34.8993821144,0.2637508319,10.5614725261,25,0,benign
28.1785049438,168.9585735470,1.9163543313,54,68,101,88.1666666667,16.0874347102,258.8055555556,0,0.5218241656,0.9580620368,28.1785049438,0.2550877772,1.7399331893,54,0,benign
33.7770161629,218.8174338539,2.4276863180,82,68,101,90.1341463415,15.5082686011,240.5063950030,0,0.4119148313,0.4228052992,33.7770161629,0.2579603927,0.5518798256,82,0,benign
28.1315648556,254.2339907758,2.7726861410,78,68,101,91.6923076923,14.8499397325,220.5207100592,0,0.3606610879,0.4142658674,28.1315648556,0.2228735223,0.3688238945,78,0,benign
34.0541050434,68.3324373679,0.7341258849,25,68,101,93.0800000000,14.0937432927,198.6336000000,0,1.3621642017,2.1393963900,34.0541050434,0.2521195041,2.8646416841,25,0,benign
34.7024679184,77.6889991323,0.8068590414,28,68,101,96.2857142857,11.5475945017,133.3469387755,0,1.2393738542,1.8179696200,34.7024679184,0.2987268431,2.3829814715,28,0,benign
9.2076511383,223.4011659545,2.3893172829,22,68,101,93.5000000000,13.8293166859,191.2500000000,0,0.4185295972,0.4687290729,9.2076511383,0.2339531007,0.1647524834,22,0,benign
34.6163039207,180.1752149588,1.9066160313,66,68,101,94.5000000000,13.1244047484,172.2500000000,0,0.5244894533,0.5212094968,34.6163039207,0.2688351725,0.4327099682,66,0,benign
34.4491860867,54.9214717364,0.6386217644,22,68,101,86.0000000000,16.4316767252,270.0000000000,0,1.5658720948,2.2562729620,34.4491860867,0.2973062098,2.6778020523,22,0,benign
10.6053209305,238.8423713534,2.7344764190,29,68,101,87.3448275862,16.2529060788,264.1569560048,0,0.3657007217,0.3710375857,10.6053209305,0.2351883523,0.2690590620,29,0,benign
28.4747629166,156.4894504322,1.7559408711,50,68,101,89.1200000000,15.8400000000,250.9056000000,0,0.5694952583,1.0633825105,28.4747629166,0.2912494729,2.2744453342,50,0,benign
10.5264010429,205.3883365436,2.3749807648,25,68,101,86.4800000000,16.3807692127,268.3296000000,0,0.4210560417,0.5343276853,10.5264010429,0.1983493154,0.3860761350,25,0,benign
34.0873639584,85.1341864846,0.9387642893,32,68,101,90.6875000000,15.2959093796,233.9648437500,0,1.0652301237,1.8338241481,34.0873639584,0.2524137016,2.6464925177,32,0,benign
10.3096148968,225.9056253138,2.5219176720,26,68,101,89.5769230769,15.6995175745,246.4748520710,0,0.3965236499,0.4412331135,10.3096148968,0.2372950284,0.3561404251,26,0,benign
28.3321831226,230.8329002284,2.4353929841,69,68,101,94.7826086957,12.9041837561,166.5179584121,0,0.4106113496,0.6075520234,28.3321831226,0.2110790915,0.4341458789,69,0,benign
34.5454399586,92.8342497257,1.0421057032,36,68,101,89.0833333333,15.8506484270,251.2430555556,0,0.9595955544,1.3943203886,34.5454399586,0.2752637023,1.9939722654,36,0,benign
34.4040510654,84.3505316999,0.9301230236,32,68,101,90.6875000000,15.2959093796,233.9648437500,0,1.0751265958,1.8166358214,34.4040510654,0.2249635543,2.4168486543,32,0,benign
28.2427999973,183.8344640224,1.9473989833,55,68,101,94.4000000000,13.2000000000,174.2400000000,0,0.5135054545,1.0049123233,28.2427999973,0.2560466368,2.0533614466,55,0,benign
10.2518930435,253.3190688760,2.7312028989,28,68,101,92.7500000000,14.2894191624,204.1875000000,0,0.3661390373,0.3412048875,10.2518930435,0.2039290510,0.0899848082,28,0,benign
10.3126120567,222.8339422988,2.6181533690,27,68,101,85.1111111111,16.4886792440,271.8765432099,0,0.3819485947,0.7875747115,10.3126120567,0.2075187915,0.0000000000,27,0,benign
33.9524340630,70.4809556676,0.7363242339,25,68,101,95.7200000000,12.0979998347,146.3616000000,0,1.3580973625,1.8746700853,33.9524340630,0.2584246784,2.2673974124,25,0,benign
28.3028149605,188.3204906453,2.0492661271,58,68,101,91.8965517241,14.7492719343,217.5410225922,0,0.4879795683,0.9749714722,28.3028149605,0.1988186585,2.0331954873,58,0,benign
34.4118990898,89.2423865357,0.9880303296,34,68,101,90.3235294118,15.4381509641,238.3365051903,0,1.0121146791,4.0359610583,34.4118990898,0.2743179216,11.5120940208,34,0,benign
34.0751330853,107.8499089294,1.1445296458,39,68,101,94.2307692308,13.3252440945,177.5621301775,0,0.8737213612,1.5376185029,34.0751330853,0.2866292126,2.4968375639,39,0,benign
28.2165238857,173.2672677825,1.8428917825,52,68,101,94.0192307692,13.4771749845,181.6342455621,0,0.5426254593,0.9998568534,28.2165238857,0.2670683906,2.1983518393,52,0,benign
33.8192851543,105.7976235651,1.1827571108,40,68,101,89.4500000000,15.7399968234,247.7475000000,0,0.8454821289,1.2471224221,33.8192851543,0.3048447704,1.7157308705,40,0,benign
9.9631960392,257.5478782013,2.9107125752,29,68,101,88.4827586207,16.0121089732,256.3876337693,0,0.3435584841,0.3265099446,9.9631960392,0.2640956803,0.0000000000,29,0,benign
34.0331380367,77.3363889383,0.8521106684,29,68,101,90.7586206897,15.2669468809,233.0796670630,0,1.1735564840,1.9456309175,34.0331380367,0.2676547823,2.8094804536,29,0,benign
33.5491850376,94.5477512030,1.0432444174,35,68,101,90.6285714286,15.3196152773,234.6906122449,0,0.9585481439,1.1888674702,33.5491850376,0.2670237748,1.4863245673,35,0,benign
27.8971269131,136.7524337502,1.5413773660,43,68,101,88.7209302326,15.9509795302,254.4337479719,0,0.6487703933,1.0614377666,27.8971269131,0.2197168849,1.7734465453,43,0,benign
32.3995440006,89.6308910997,1.0185328534,33,68,101,88.0000000000,16.1245154966,260.0000000000,0,0.9818043637,1.6621030820,32.3995440006,0.2657250156,2.3502367498,33,0,benign
34.2778530121,208.5894935566,2.2463483921,77,68,101,92.8571428571,14.2270222909,202.4081632653,0,0.4451669222,0.4456350029,34.2778530121,0.2461194108,0.4471337076,77,0,benign
34.1730968952,92.8800807762,1.0534602735,36,68,101,88.1666666667,16.0874347102,258.8055555556,0,0.9492526915,1.1891015337,34.1730968952,0.2714529367,1.4700120472,36,0,benign
0.0000000001,1360000000000.0000000000,10000000000.0000000000,1,136,136,136.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
27.8065271378,152.9856633633,1.7262134089,48,68,101,88.6250000000,15.9760563031,255.2343750000,0,0.5793026487,0.9224587806,27.8065271378,0.2398634399,1.6759661435,48,0,benign
33.4769339561,53.5592656827,0.6571689041,22,68,101,81.5000000000,16.2249807396,263.2500000000,0,1.5216788162,2.6205655936,33.4769339561,0.2581923363,3.0191197865,22,0,benign
27.4975190163,139.7216962638,1.4546766920,40,68,101,96.0500000000,11.7833569071,138.8475000000,0,0.6874379754,1.1067351006,27.4975190163,0.2560349925,2.3052567253,40,0,benign
33.7972660065,77.8169452966,0.8284693796,28,68,101,93.9285714286,13.5407548097,183.3520408163,0,1.2070452145,2.3038829408,33.7972660065,0.2436758265,3.3597330688,28,0,benign
32.6174879074,71.2807806230,0.7358016064,24,68,101,96.8750000000,10.9137241581,119.1093750000,0,1.3590619961,1.9530451689,32.6174879074,0.2525625682,2.4467717335,24,0,benign
33.3641319275,116.2026336674,1.2288645810,41,68,101,94.5609756098,13.0777203587,171.0267697799,0,0.8137593153,1.1733213736,33.3641319275,0.2457235718,1.7722719917,41,0,benign
0.0000000001,1280000000000.0000000000,10000000000.0000000000,1,128,128,128.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
33.9979691505,58.5034944644,0.6176839536,21,68,101,94.7142857143,12.9583319662,167.9183673469,0,1.6189509119,2.7384586179,33.9979691505,0.2646259556,3.4767890262,21,0,benign
33.0500290394,79.6368437941,0.8774576254,29,68,101,90.7586206897,15.2669468809,233.0796670630,0,1.1396561738,1.3176118909,33.0500290394,0.2264702424,1.4469865991,29,0,benign
0.0000000001,1510000000000.0000000000,10000000000.0000000000,1,151,151,151.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
32.0968139172,113.5315177826,1.2462296134,40,68,101,91.1000000000,15.1224997934,228.6900000000,0,0.8024203479,1.4659191818,32.0968139172,0.2231552609,2.3461138503,40,0,benign
0.0000000001,1190000000000.0000000000,10000000000.0000000000,1,119,119,119.0000000000,0.0000000000,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0,attack
