Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
3528,0.5,1.0,0.9981261711430356,0.9990622069396686
3529,0.5,1.0,0.9981261711430356,0.9990622069396686
3530,0.5,1.0,0.99812734082397,0.9990627928772259
3531,0.5,1.0,0.99812734082397,0.9990627928772259
3532,0.5,1.0,0.9981285090455396,0.9990633780830471
3533,0.5,1.0,0.9981285090455396,0.9990633780830471
3534,0.5,1.0,0.9981296758104738,0.9990639625585024
3535,0.5,1.0,0.9981296758104738,0.9990639625585024
3536,0.5,1.0,0.9981308411214953,0.9990645463049579
3537,0.5,1.0,0.9981308411214953,0.9990645463049579
3538,0.5,1.0,0.99813200498132,0.9990651293237769
3539,0.5,1.0,0.99813200498132,0.9990651293237769
3540,0.5,1.0,0.9981331673926571,0.9990657116163189
3541,0.5,1.0,0.9981331673926571,0.9990657116163189
3542,0.5,1.0,0.9981343283582089,0.9990662931839402
3543,0.5,1.0,0.9981343283582089,0.9990662931839402
3544,0.5,1.0,0.9981354878806712,0.9990668740279938
3545,0.5,1.0,0.9981354878806712,0.9990668740279938
3546,0.5,1.0,0.9981366459627329,0.999067454149829
3547,0.5,1.0,0.9981366459627329,0.999067454149829
3548,0.5,1.0,0.9981378026070763,0.9990680335507922
3549,0.5,1.0,0.9981378026070763,0.9990680335507922
3550,0.5,1.0,0.9981389578163772,0.999068612232226
3551,0.5,1.0,0.9981389578163772,0.999068612232226
3552,0.5,1.0,0.9981401115933044,0.99906919019547
3553,0.5,1.0,0.9981401115933044,0.99906919019547
3554,0.5,1.0,0.9981412639405205,0.9990697674418605
3555,0.5,1.0,0.9981412639405205,0.9990697674418605
3556,0.5,1.0,0.9981424148606811,0.9990703439727301
3557,0.5,1.0,0.9981424148606811,0.9990703439727301
3558,0.5,1.0,0.9981435643564357,0.9990709197894085
3559,0.5,1.0,0.9981435643564357,0.9990709197894085
3560,0.5,1.0,0.9981447124304267,0.9990714948932219
3561,0.5,1.0,0.9981447124304267,0.9990714948932219
3562,0.5,1.0,0.9981458590852905,0.9990720692854933
3563,0.5,1.0,0.9981458590852905,0.9990720692854933
3564,0.5,1.0,0.9981470043236566,0.9990726429675425
3565,0.5,1.0,0.9981470043236566,0.9990726429675425
3566,0.5,1.0,0.9981481481481481,0.9990732159406858
3567,0.5,1.0,0.9981481481481481,0.9990732159406858
3568,0.5,1.0,0.9981492905613819,0.9990737882062365
3569,0.5,1.0,0.9981492905613819,0.9990737882062365
3570,0.5,1.0,0.9981504315659679,0.9990743597655045
3571,0.5,1.0,0.9981504315659679,0.9990743597655045
3572,0.5,1.0,0.9981515711645101,0.9990749306197965
3573,0.5,1.0,0.9981515711645101,0.9990749306197965
3574,0.5,1.0,0.9981527093596059,0.9990755007704161
3575,0.5,1.0,0.9981527093596059,0.9990755007704161
3576,0.5,1.0,0.9981538461538462,0.9990760702186634
3577,0.5,1.0,0.9981538461538462,0.9990760702186634
3578,0.5,1.0,0.9981549815498155,0.9990766389658357
3579,0.5,1.0,0.9981549815498155,0.9990766389658357
3580,0.5,1.0,0.9981561155500922,0.9990772070132267
3581,0.5,1.0,0.9981561155500922,0.9990772070132267
3582,0.5,1.0,0.9981572481572482,0.9990777743621273
3583,0.5,1.0,0.9981572481572482,0.9990777743621273
3584,0.5,1.0,0.998158379373849,0.9990783410138249
3585,0.5,1.0,0.998158379373849,0.9990783410138249
3586,0.5,1.0,0.998159509202454,0.9990789069696039
3587,0.5,1.0,0.998159509202454,0.9990789069696039
3588,0.5,1.0,0.9981606376456161,0.9990794722307457
3589,0.5,1.0,0.9981606376456161,0.9990794722307457
3590,0.5,1.0,0.9981617647058824,0.9990800367985281
3591,0.5,1.0,0.9981617647058824,0.9990800367985281
3592,0.5,1.0,0.998162890385793,0.9990806006742262
3593,0.5,1.0,0.998162890385793,0.9990806006742262
3594,0.5,1.0,0.9981640146878825,0.9990811638591118
3595,0.5,1.0,0.9981640146878825,0.9990811638591118
3596,0.5,1.0,0.998165137614679,0.9990817263544536
3597,0.5,1.0,0.998165137614679,0.9990817263544536
